Asset Name,Serial,Asset Tag,Category,Model,Manufacturer,Status,Location,Company,Supplier,Purchase Date,Purchase Cost,Warranty Months,Notes
"Dining Chair 10","CHR-0010","TAG-CHR-010","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 11","CHR-0011","TAG-CHR-011","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 12","CHR-0012","TAG-CHR-012","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 13","CHR-0013","TAG-CHR-013","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 14","CHR-0014","TAG-CHR-014","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 15","CHR-0015","TAG-CHR-015","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 16","CHR-0016","TAG-CHR-016","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 17","CHR-0017","TAG-CHR-017","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 18","CHR-0018","TAG-CHR-018","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 19","CHR-0019","TAG-CHR-019","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 20","CHR-0020","TAG-CHR-020","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 21","CHR-0021","TAG-CHR-021","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 22","CHR-0022","TAG-CHR-022","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 23","CHR-0023","TAG-CHR-023","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 24","CHR-0024","TAG-CHR-024","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 25","CHR-0025","TAG-CHR-025","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 26","CHR-0026","TAG-CHR-026","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 27","CHR-0027","TAG-CHR-027","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 28","CHR-0028","TAG-CHR-028","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 29","CHR-0029","TAG-CHR-029","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 30","CHR-0030","TAG-CHR-030","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 31","CHR-0031","TAG-CHR-031","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 32","CHR-0032","TAG-CHR-032","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 33","CHR-0033","TAG-CHR-033","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Dining Chair 34","CHR-0034","TAG-CHR-034","Furniture","Ergonomic Dining Chair","Comfort Seats","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Commercial Furniture Co.","2024-01-15","75","12","Dining Hall Seating Chair"
"Split Air Conditioner 1.5-Ton 01","AC-0001","TAG-AC-001","Appliances","Inverter Split AC 1.5-Ton","Daikin","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","CoolTech Appliances","2024-02-10","850","36","Dining Hall Inverter AC Unit"
"Split Air Conditioner 1.5-Ton 02","AC-0002","TAG-AC-002","Appliances","Inverter Split AC 1.5-Ton","Daikin","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","CoolTech Appliances","2024-02-10","850","36","Dining Hall Inverter AC Unit"
"Split Air Conditioner 1.5-Ton 03","AC-0003","TAG-AC-003","Appliances","Inverter Split AC 1.5-Ton","Daikin","Ready to Deploy","Kitchen Area","Maphy Cafe & Restaurant","CoolTech Appliances","2024-02-10","850","36","Kitchen Cooling AC Unit"
"Split Air Conditioner 1.5-Ton 04","AC-0004","TAG-AC-004","Appliances","Inverter Split AC 1.5-Ton","Daikin","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","CoolTech Appliances","2024-02-10","850","36","Beverage Bar AC Unit"
"Commercial Kitchen Workstation Setup","KTN-0001","TAG-KTN-001","Kitchen Equipment","Stainless Steel Modular Kitchen","Stainless Kitchen Co.","Ready to Deploy","Kitchen Area","Maphy Cafe & Restaurant","Chef Equipment Suppliers","2024-01-10","3500","24","Full Stainless Steel Commercial Kitchen Workstation"
"Commercial Espresso Coffee Machine","CFM-0001","TAG-CFM-001","Kitchen Equipment","2-Group Espresso Coffee Machine","La Marzocco","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Espresso Pro Supplies","2024-03-01","1800","24","Dual Group Professional Espresso Machine"
"Heavy Duty Commercial Dishwasher","DSH-0001","TAG-DSH-001","Kitchen Equipment","Under-Counter Commercial Dishwasher","Hobart","Ready to Deploy","Kitchen Wash Station","Maphy Cafe & Restaurant","Chef Equipment Suppliers","2024-02-20","2200","24","High Temp Sanitizing Dishwasher"
"Double Deck Commercial Pizza Oven","PZO-0001","TAG-PZO-001","Kitchen Equipment","Electric Double Deck Pizza Oven","Moretti Forni","Ready to Deploy","Kitchen Pizza Station","Maphy Cafe & Restaurant","Chef Equipment Suppliers","2024-02-15","2900","24","Electric Double Deck Commercial Pizza Oven"
"Glass Front Display Cupboard","DSP-0001","TAG-DSP-001","Furniture","Glass Showcase Display Cupboard","Custom Woodcraft","Ready to Deploy","Bakery Counter","Maphy Cafe & Restaurant","Store Fixtures Direct","2024-02-01","950","12","3-Tier Tempered Glass & Wooden Display Cabinet"
"Refrigerated Ice Cream Display Cabinet","ICF-0001","TAG-ICF-001","Appliances","12-Pan Ice Cream Showcase Freezer","FreezerPro","Ready to Deploy","Dessert Counter","Maphy Cafe & Restaurant","CoolTech Appliances","2024-03-10","1600","24","Glass Top Ice Cream Display Freezer Cabinet"
"Commercial Refrigerator Double Door","RFG-0001","TAG-RFG-001","Appliances","Double Door Stainless Refrigerator","CoolChef","Ready to Deploy","Kitchen Area","Maphy Cafe & Restaurant","Chef Equipment Suppliers","2024-01-20","1450","24","Commercial Kitchen Stainless Chiller"
"Commercial High-Speed Blender 01","BLD-0001","TAG-BLD-001","Kitchen Equipment","Pro Commercial Smoothie Blender","Vitamix","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Espresso Pro Supplies","2024-03-05","450","12","Bar Smoothie & Beverage Blender"
"Commercial High-Speed Blender 02","BLD-0002","TAG-BLD-002","Kitchen Equipment","Pro Commercial Smoothie Blender","Vitamix","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Espresso Pro Supplies","2024-03-05","450","12","Bar Smoothie & Beverage Blender"
"Commercial Microwave Oven 01","MCO-0001","TAG-MCO-001","Kitchen Equipment","Heavy Duty Commercial Microwave","Panasonic","Ready to Deploy","Kitchen Area","Maphy Cafe & Restaurant","Chef Equipment Suppliers","2024-02-05","320","12","Kitchen Food Heating Microwave"
"Commercial Microwave Oven 02","MCO-0002","TAG-MCO-002","Kitchen Equipment","Heavy Duty Commercial Microwave","Panasonic","Ready to Deploy","Kitchen Area","Maphy Cafe & Restaurant","Chef Equipment Suppliers","2024-02-05","320","12","Kitchen Food Heating Microwave"
"Hot & Cold Water Dispenser 01","WTR-0001","TAG-WTR-001","Appliances","Bottom-Load Water Dispenser","Voltas","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","CoolTech Appliances","2024-02-12","180","12","Filtered Water Dispenser"
"Hot & Cold Water Dispenser 02","WTR-0002","TAG-WTR-002","Appliances","Bottom-Load Water Dispenser","Voltas","Ready to Deploy","Kitchen Area","Maphy Cafe & Restaurant","CoolTech Appliances","2024-02-12","180","12","Filtered Water Dispenser"
"Ice Cream Flavor Concentrate - Vanilla","FLV-0001","TAG-FLV-001","Consumables","Vanilla Flavor Syrup 1L","Monin","Ready to Deploy","Dessert Counter","Maphy Cafe & Restaurant","FlavorCraft Distro","2024-04-01","25","0","Vanilla Flavor Syrup Bottle"
"Ice Cream Flavor Concentrate - Chocolate","FLV-0002","TAG-FLV-002","Consumables","Chocolate Syrup 1L","Monin","Ready to Deploy","Dessert Counter","Maphy Cafe & Restaurant","FlavorCraft Distro","2024-04-01","25","0","Chocolate Flavor Syrup Bottle"
"Ice Cream Flavor Concentrate - Strawberry","FLV-0003","TAG-FLV-003","Consumables","Strawberry Flavor Syrup 1L","Monin","Ready to Deploy","Dessert Counter","Maphy Cafe & Restaurant","FlavorCraft Distro","2024-04-01","25","0","Strawberry Flavor Syrup Bottle"
"Ice Cream Flavor Concentrate - Mango","FLV-0004","TAG-FLV-004","Consumables","Mango Flavor Syrup 1L","Monin","Ready to Deploy","Dessert Counter","Maphy Cafe & Restaurant","FlavorCraft Distro","2024-04-01","25","0","Mango Flavor Syrup Bottle"
"Ice Cream Flavor Concentrate - Butterscotch","FLV-0005","TAG-FLV-005","Consumables","Butterscotch Flavor Syrup 1L","Monin","Ready to Deploy","Dessert Counter","Maphy Cafe & Restaurant","FlavorCraft Distro","2024-04-01","25","0","Butterscotch Flavor Syrup Bottle"
"Table Tissue Napkins Box 01","TSS-0001","TAG-TSS-001","Consumables","2-Ply Table Napkins Pack","Kleenex","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Hygiene Supplies Inc","2024-04-01","10","0","2-Ply Table Tissue Box Pack"
"Table Tissue Napkins Box 02","TSS-0002","TAG-TSS-002","Consumables","2-Ply Table Napkins Pack","Kleenex","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Hygiene Supplies Inc","2024-04-01","10","0","2-Ply Table Tissue Box Pack"
"Table Tissue Napkins Box 03","TSS-0003","TAG-TSS-003","Consumables","2-Ply Table Napkins Pack","Kleenex","Ready to Deploy","Main Dining Hall","Maphy Cafe & Restaurant","Hygiene Supplies Inc","2024-04-01","10","0","2-Ply Table Tissue Box Pack"
"Table Tissue Napkins Box 04","TSS-0004","TAG-TSS-004","Consumables","2-Ply Table Napkins Pack","Kleenex","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hygiene Supplies Inc","2024-04-01","10","0","2-Ply Table Tissue Box Pack"
"Table Tissue Napkins Box 05","TSS-0005","TAG-TSS-005","Consumables","2-Ply Table Napkins Pack","Kleenex","Ready to Deploy","Dessert Counter","Maphy Cafe & Restaurant","Hygiene Supplies Inc","2024-04-01","10","0","2-Ply Table Tissue Box Pack"
"Lager Glass Cup 01","LGR-0001","TAG-LGR-001","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 02","LGR-0002","TAG-LGR-002","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 03","LGR-0003","TAG-LGR-003","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 04","LGR-0004","TAG-LGR-004","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 05","LGR-0005","TAG-LGR-005","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 06","LGR-0006","TAG-LGR-006","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 07","LGR-0007","TAG-LGR-007","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 08","LGR-0008","TAG-LGR-008","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 09","LGR-0009","TAG-LGR-009","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 10","LGR-0010","TAG-LGR-010","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 11","LGR-0011","TAG-LGR-011","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 12","LGR-0012","TAG-LGR-012","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 13","LGR-0013","TAG-LGR-013","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 14","LGR-0014","TAG-LGR-014","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 15","LGR-0015","TAG-LGR-015","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 16","LGR-0016","TAG-LGR-016","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 17","LGR-0017","TAG-LGR-017","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 18","LGR-0018","TAG-LGR-018","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 19","LGR-0019","TAG-LGR-019","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 20","LGR-0020","TAG-LGR-020","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 21","LGR-0021","TAG-LGR-021","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 22","LGR-0022","TAG-LGR-022","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 23","LGR-0023","TAG-LGR-023","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 24","LGR-0024","TAG-LGR-024","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 25","LGR-0025","TAG-LGR-025","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 26","LGR-0026","TAG-LGR-026","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
"Lager Glass Cup 27","LGR-0027","TAG-LGR-027","Glassware & Utensils","Lager Pint Glass 500ml","Pasabahce","Ready to Deploy","Beverage Bar","Maphy Cafe & Restaurant","Hotel & Barware Supplies","2024-03-05","5","0","500ml Heavy Base Beer/Lager Glass"
